000656-2011;FR242;FR
000657-2011;;FR
000658-2011;;FR
000659-2011;FR;FR
000660-2011;PL117;PL
000661-2011;PL127;PL
000662-2011;PL127;PL
000663-2011;DE300;DE
000664-2011;ITC33;IT
000665-2011;FR523;FR
000666-2011;FR251;FR
000667-2011;FR23;FR
000668-2011;;FR
000669-2011;PL121;PL
000670-2011;GR422;GR
000671-2011;;FR
000672-2011;;FR
000673-2011;PL114;PL
000674-2011;;IT
000675-2011;;PL
000676-2011;DEA2;DE
000677-2011;PL518;PL
000678-2011;;FR
000679-2011;;DE
000680-2011;;FR
000681-2011;;FR
000682-2011;;FR
000683-2011;GR241;GR
000684-2011;FR;FR
000685-2011;;FR
000686-2011;;FR
000687-2011;ITD41;IT
000688-2011;;FR
000689-2011;ES618;ES
000690-2011;DE71A;DE
000691-2011;FR101;FR
000692-2011;;UK
000693-2011;IT;IT
000694-2011;;ES
000695-2011;;PL
000696-2011;;PL
000697-2011;;PL
000698-2011;;PL
000699-2011;;FR
000700-2011;;FR
000701-2011;FR713;FR
000702-2011;ES300;ES
000703-2011;;FR
000704-2011;;PT
000705-2011;ES300;ES
000706-2011;;FR
000707-2011;;FR
000708-2011;FR;FR
000709-2011;FR413;FR
000710-2011;FR;FR
000711-2011;;FR
000712-2011;FR1;FR
000713-2011;;FR
000714-2011;;FR
000715-2011;FR;FR
000716-2011;;FR
000717-2011;;FR
000718-2011;FR4;FR
000719-2011;FR413;FR
000720-2011;FR413;FR
000721-2011;FR422;FR
000722-2011;FR716;FR
000723-2011;;FR
000724-2011;FR716;FR
000725-2011;;FR
000726-2011;;FR
000727-2011;ITF61;IT
000728-2011;DEF0B;DE
000729-2011;;FR
000730-2011;;FR
000731-2011;ITC48;IT
000732-2011;FR;FR
000733-2011;;FR
000734-2011;;FR
000735-2011;;FR
000736-2011;;FR
000737-2011;FR101;FR
000738-2011;PL21;PL
000739-2011;FR1;FR
000740-2011;;FR
000741-2011;ES613;ES
000742-2011;;PL
000743-2011;ES613;ES
000744-2011;FR102;FR
000745-2011;RO116;RO
000746-2011;RO321;RO
000747-2011;RO321;RO
000748-2011;RO321;RO
000749-2011;RO125;RO
000750-2011;RO321;RO
000751-2011;RO126;RO
000752-2011;RO321;RO
000753-2011;RO321;RO
000754-2011;RO32;RO
000755-2011;RO321;RO
000756-2011;RO321;RO
000757-2011;RO321;RO
000758-2011;;FR
000759-2011;;PL
000760-2011;PL411;PL
000761-2011;DE111;DE
000762-2011;FR101;FR
000763-2011;;PL
000764-2011;;PL
000765-2011;PL;PL
000766-2011;PL22;PL
000767-2011;PL622;PL
000768-2011;NL22;NL
000769-2011;PL325;PL
000770-2011;PL225;PL
000771-2011;;PL
000772-2011;PL127;PL
000773-2011;PL22;PL
000774-2011;;PL
000775-2011;DE71A;DE
000776-2011;PL;PL
000777-2011;;PL
000778-2011;ES300;ES
000779-2011;ES511;ES
000780-2011;;LT
000781-2011;;LT
000782-2011;PL51;PL
000783-2011;ITC45;IT
000784-2011;PL621;PL
000785-2011;;PL
000786-2011;;PL
000787-2011;;PL
000788-2011;PL22B;PL
000789-2011;PL213;PL
000790-2011;PL22;PL
000791-2011;FR434;FR
000792-2011;;LT
000793-2011;;PL
000794-2011;PL224;PL
000795-2011;FR718;FR
000796-2011;CZ052;CZ
000797-2011;CZ0;CZ
000798-2011;CZ0;CZ
000799-2011;CZ010;CZ
000800-2011;LT003;LT
000801-2011;;LT
000802-2011;LT003;LT
000803-2011;;LU
000804-2011;;FR
000805-2011;FR51;FR
000806-2011;FR;FR
000807-2011;FR716;FR
000808-2011;;PL
000809-2011;;PL
000810-2011;;IT
000811-2011;;IT
000812-2011;PL323;PL
000813-2011;PL61;PL
000814-2011;;FR
000815-2011;;FR
000816-2011;FR222;FR
000817-2011;FR622;FR
000818-2011;FR;FR
000819-2011;;FR
000820-2011;;PL
000821-2011;;LU
000822-2011;HU321;HU
000823-2011;;SE
000824-2011;PL127;PL
000825-2011;;SE
000826-2011;PL32;PL
000827-2011;PL345;PL
000828-2011;;PL
000829-2011;UKM34;UK
000830-2011;PL522;PL
000831-2011;;UK
000832-2011;UKJ4;UK
000833-2011;;UK
000834-2011;;UK
000835-2011;PL;PL
000836-2011;;FR
000837-2011;;FR
000838-2011;;FR
000839-2011;FR302;FR
000840-2011;;FR
000841-2011;;PL
000842-2011;PL622;PL
000843-2011;UKJ22;UK
000844-2011;;UK
000845-2011;PL516;PL
000846-2011;PL325;PL
000847-2011;;UK
000848-2011;UKD32;UK
000849-2011;MT00;MT
000850-2011;DE71A;DE
000851-2011;PL;PL
000852-2011;UKH23;UK
000853-2011;FR522;FR
000854-2011;FR434;FR
000855-2011;FR63;FR
000856-2011;FR71;FR
000857-2011;;FR
000858-2011;;NL
000859-2011;;PL
000860-2011;;PL
000861-2011;BG411;BG
000862-2011;PL432;PL
000863-2011;;PL
000864-2011;ITE13;IT
000865-2011;PL127;PL
000866-2011;PL127;PL
000867-2011;PL62;PL
000868-2011;ITE22;IT
000869-2011;PL432;PL
000870-2011;FR724;FR
000871-2011;;FR
000872-2011;FR615;FR
000873-2011;PL128;PL
000874-2011;UKK4;UK
000875-2011;PL114;PL
000876-2011;PL127;PL
000877-2011;AT13;AT
000878-2011;UKJ12;UK
000879-2011;PL127;PL
000880-2011;ITE13;IT
000881-2011;;PT
000882-2011;;FR
000883-2011;PL312;PL
000884-2011;PL522;PL
000885-2011;FR103;FR
000886-2011;FR102;FR
000887-2011;FR101;FR
000888-2011;PL521;PL
000889-2011;ITC44;IT
000890-2011;;FR
000891-2011;FR;FR
000892-2011;FR;FR
000893-2011;;FR
000894-2011;PL522;PL
000895-2011;ITC4;IT
000896-2011;PL522;PL
000897-2011;FR824;FR
000898-2011;FR231;FR
000899-2011;;FR
000900-2011;;FR
000901-2011;;FR
000902-2011;FR10;FR
000903-2011;PL43;PL
000904-2011;FR522;FR
000905-2011;FR522;FR
000906-2011;FR101;FR
000907-2011;FR522;FR
000908-2011;;PL
000909-2011;DE;DE
000910-2011;;FR
000911-2011;DE212;DE
000912-2011;PL634;PL
000913-2011;PL621;PL
000914-2011;;PL
000915-2011;PL517;PL
000916-2011;PL41;PL
000917-2011;PL;PL
000918-2011;PL33;PL
000919-2011;DE;DE
000920-2011;;FR
000921-2011;PL331;PL
000922-2011;BG413;BG
000923-2011;FR232;FR
000924-2011;;FR
000925-2011;DE71A;DE
000926-2011;PL622;PL
000927-2011;PL411;PL
000928-2011;PL;PL
000929-2011;PL343;PL
000930-2011;PL129;PL
000931-2011;PL121;PL
000932-2011;PL;PL
000933-2011;PL22A;PL
000934-2011;PL213;PL
000935-2011;PL6;PL
000936-2011;;FR
000937-2011;MT00;MT
000938-2011;FR434;FR
000939-2011;DEF;DE
000940-2011;PL;PL
000941-2011;PL;PL
000942-2011;DE;DE
000943-2011;PL414;PL
000944-2011;PL228;PL
000945-2011;PL63;PL
000946-2011;DE923;DE
000947-2011;FR532;FR
000948-2011;FR;FR
000949-2011;;PL
000950-2011;;BE
000951-2011;PL217;PL
000952-2011;;BE
000953-2011;PL518;PL
000954-2011;DEF0;DE
000955-2011;PL31;PL
000956-2011;PL214;PL
000957-2011;PL31;PL
000958-2011;;PL
000959-2011;DE111;DE
000960-2011;;DE
000961-2011;FR245;FR
000962-2011;;PL
000963-2011;FR824;FR
000964-2011;FR103;FR
000965-2011;FR4;FR
000966-2011;;FR
000967-2011;FR832;FR
000968-2011;FR716;FR
000969-2011;DE71A;DE
000970-2011;;AT
000971-2011;PL127;PL
000972-2011;;PL
000973-2011;;IT
000974-2011;;FR
000975-2011;PL12A;PL
000976-2011;UKK14;UK
000977-2011;PL127;PL
000978-2011;FR612;FR
000979-2011;PL41;PL
000980-2011;;PL
000981-2011;FR251;FR
000982-2011;FR434;FR
000983-2011;FR;FR
000984-2011;;FR
000985-2011;;FR
000986-2011;FR823;FR
000987-2011;;FR
