14621100;"Non-ECSC ferro-alloys.";"27351000";"Non-ECSC ferro-alloys."
14621110;"Ferro-manganese.";"27112000";"Ferro-manganese products."
;;"27351100";"Ferro-manganese."
14621120;"Ferro-chromium.";"27351200";"Ferro-chromium."
14621130;"Ferro-nickel.";"27351300";"Ferro-nickel."
14622000;"Steel.";"27110000";"Basic iron and steel."
;"#N/A";"27115000";"Steel."
;"#N/A";"27120000";"Steel alloy ingots."
;"#N/A";"27300000";"Iron and steel products."
;"#N/A";"27313000";"Stainless-steel products."
;"#N/A";"27320000";"Cold-rolled products."
;"#N/A";"27321000";"Flat-rolled products."
;"#N/A";"27321200";"Flat-rolled products of steel."
;"#N/A";"27330000";"Folded products."
;"#N/A";"27331000";"Folded products of steel."
;"#N/A";"27353000";"Iron or steel granules and powders."
;"#N/A";"27354000";"Semi-finished products."
;"#N/A";"27354200";"Semi-finished products of steel."
;"#N/A";"27354210";"Semi-finished products of stainless-steel."
14630000;"Slag, dross, ferrous waste and scrap.";"27190000";"Slag, dross, ferrous waste and scrap."
;;"27191000";"Remelted scrap ingots."
;;"27530000";"Waste and scrap of aluminium."
;;"27630000";"Waste and scrap of lead, zinc or tin."
;;"27730000";"Waste and scrap of copper."
;;"27830000";"Waste and scrap of nickel."
14700000;"Basic metals.";"27000000";"Basic metals and associated products."
;"#N/A";"27100000";"Basic metals."
;"#N/A";"27420000";"Metals clad with precious metals."
;"#N/A";"27421000";"Base metals clad with silver or gold."
;"#N/A";"27422000";"Base metals clad with platinum."
14710000;"Iron, lead, zinc, tin and copper.";"/";"/"
